transmission_type,id_transmissao,body_type,id_body_type,modelo,id_modelos,marca,id_categoria_marca,mileage,ano,city,id_city,insurance,id_insurance,seats,engine_capacity,fuel_type,id_fuel_type,kms_driven,max_power,owner_type,id_owner_type,ID
Manual,0.1306344835831814,Hatchback,0.3631383338656007,Grand i10 1.2 Kappa Sportz Option,2.875318546860068,Hyundai,0.6762035848164187,18.9,2017.0,Mumbai,0.9237651759315242,Comprehensive,0.4469137531446819,5.0,1197.0,Petrol,0.1808108436013733,53658.0,81.8,First Owner,0.1513159043723507,0
Automatic,0.5851602224980227,Hatchback,0.3631383338656007,Swift AMT VXI,3.22750106497143,Maruti,0.5428800869444625,21.21,2020.0,Jaipur,1.2805577942736048,Not Available,1.4145877083285747,5.0,1197.0,Petrol,0.1808108436013733,33055.0,81.8,Second Owner,0.6196441032904012,1
Manual,0.1306344835831814,Hatchback,0.3631383338656007,Zen Estilo LX BSIII,3.431621047627355,Maruti,0.5428800869444625,18.2,2010.0,Chandigarh,1.5940326093918438,Third Party,0.2561672213768721,5.0,998.0,Petrol,0.1808108436013733,90385.0,67.1,Third Owner,1.3553447922231374,2
Manual,0.1306344835831814,Hatchback,0.3631383338656007,Alto LXi,2.4230208758654377,Maruti,0.5428800869444625,19.7,2010.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,796.0,Petrol,0.1808108436013733,110000.0,46.3,First Owner,0.1513159043723507,3
Manual,0.1306344835831814,Hatchback,0.3631383338656007,i20 Active S Petrol,3.8295610562993927,Hyundai,0.6762035848164187,17.19,2018.0,Delhi,0.768863215945781,Comprehensive,0.4469137531446819,5.0,1197.0,Petrol,0.1808108436013733,58000.0,81.8,Second Owner,0.6196441032904012,4
Manual,0.1306344835831814,SUV,0.6002632621852876,Fortuner 2.8 2WD MT BSIV,3.5285310606354114,Toyota,1.3664149195730433,14.24,2018.0,Bangalore,0.8686148605655614,Comprehensive,0.4469137531446819,7.0,2755.0,Diesel,0.5145358569867878,174000.0,174.5,First Owner,0.1513159043723507,5
Manual,0.1306344835831814,Hatchback,0.3631383338656007,Wagon R CNG LXI,2.5991121349211186,Maruti,0.5428800869444625,32.52,2020.0,Ahmedabad,1.1106443702845317,Third Party,0.2561672213768721,5.0,998.0,CNG,1.5242096868527688,48021.0,58.3,First Owner,0.1513159043723507,6
Manual,0.1306344835831814,Tata,3.7534697972437114,New Safari DICOR 2.2 LX 4x2,3.8295610562993927,Tata,1.2324145684656973,11.57,2010.0,Chennai,1.130591051963374,Third Party,0.2561672213768721,7.0,2179.0,Diesel,0.5145358569867878,120000.0,138.1,Third Owner,1.3553447922231374,7
Manual,0.1306344835831814,Hatchback,0.3631383338656007,Tiago Wizz 1.2 Revotron,3.8295610562993927,Tata,1.2324145684656973,23.84,2018.0,Jaipur,1.2805577942736048,Not Available,1.4145877083285747,5.0,1199.0,Petrol,0.1808108436013733,98982.0,84.0,First Owner,0.1513159043723507,8
Manual,0.1306344835831814,SUV,0.6002632621852876,WR-V i-VTEC S,2.984463016285136,Honda,0.9783027075803176,17.5,2017.0,Mumbai,0.9237651759315242,Comprehensive,0.4469137531446819,5.0,1199.0,Petrol,0.1808108436013733,30995.0,88.7,Second Owner,0.6196441032904012,9
Manual,0.1306344835831814,Sedan,0.5776796017468651,City i-VTEC VX,3.089198366805149,Honda,0.9783027075803176,17.4,2018.0,Delhi,0.768863215945781,Comprehensive,0.4469137531446819,5.0,1497.0,Petrol,0.1808108436013733,43000.0,117.6,First Owner,0.1513159043723507,10
Automatic,0.5851602224980227,Hatchback,0.3631383338656007,Santro Sportz AMT,3.285493011949117,Hyundai,0.6762035848164187,20.3,2021.0,Kolkata,1.1705962136349577,Third Party,0.2561672213768721,5.0,1086.0,Petrol,0.1808108436013733,26873.0,68.0,First Owner,0.1513159043723507,11
Manual,0.1306344835831814,SUV,0.6002632621852876,Creta 1.4 E Plus,3.176348542524049,Hyundai,0.6762035848164187,22.1,2019.0,Mumbai,0.9237651759315242,Comprehensive,0.4469137531446819,5.0,1396.0,Diesel,0.5145358569867878,52665.0,88.7,First Owner,0.1513159043723507,12
Manual,0.1306344835831814,Hatchback,0.3631383338656007,Ritz LXi,3.016647699656537,Maruti,0.5428800869444625,18.5,2016.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,1197.0,Petrol,0.1808108436013733,50000.0,85.8,Second Owner,0.6196441032904012,13
Manual,0.1306344835831814,SUV,0.6002632621852876,Pajero Sport 4X4,3.22750106497143,Mitsubishi,2.788168371141168,13.5,2014.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,7.0,2477.0,Diesel,0.5145358569867878,110000.0,175.5,First Owner,0.1513159043723507,14
Manual,0.1306344835831814,SUV,0.6002632621852876,Creta 1.6 VTVT E Plus,3.0514098059157493,Hyundai,0.6762035848164187,15.29,2017.0,Mumbai,0.9237651759315242,Third Party,0.2561672213768721,5.0,1591.0,Petrol,0.1808108436013733,31097.0,121.3,Second Owner,0.6196441032904012,15
Manual,0.1306344835831814,SUV,0.6002632621852876,XUV500 W6 1.99 mHawk,3.431621047627355,Mahindra,1.3285017940816413,16.0,2016.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,7.0,1997.0,Diesel,0.5145358569867878,80000.0,140.0,First Owner,0.1513159043723507,16
Manual,0.1306344835831814,Hatchback,0.3631383338656007,Grand i10 Sportz,2.0852680731767164,Hyundai,0.6762035848164187,18.9,2016.0,Delhi,0.768863215945781,Zero Dep,1.3090775235586007,5.0,1197.0,Petrol,0.1808108436013733,71688.0,82.0,First Owner,0.1513159043723507,17
Manual,0.1306344835831814,Hatchback,0.3631383338656007,Omni 5 Str STD,3.929561056299393,Maruti,0.5428800869444625,14.0,2001.0,Bangalore,0.8686148605655614,Third Party,0.2561672213768721,5.0,796.0,Petrol,0.1808108436013733,30000.0,35.0,Third Owner,1.3553447922231374,18
Manual,0.1306344835831814,Sedan,0.5776796017468651,Vento Diesel Highline,2.9544997929076926,Volkswagen,1.491104562694788,20.54,2014.0,Jaipur,1.2805577942736048,Comprehensive,0.4469137531446819,5.0,1598.0,Diesel,0.5145358569867878,53000.0,103.6,First Owner,0.1513159043723507,19
Manual,0.1306344835831814,Sedan,0.5776796017468651,City i VTEC V,2.3824030249571737,Honda,0.9783027075803176,17.4,2015.0,Gurgaon,1.2221060330847242,Not Available,1.4145877083285747,5.0,1497.0,Petrol,0.1808108436013733,46397.0,117.3,Second Owner,0.6196441032904012,20
Automatic,0.5851602224980227,MUV,1.3502737398232223,Ertiga VXI AT Petrol,3.929561056299393,Maruti,0.5428800869444625,18.69,2018.0,Mumbai,0.9237651759315242,Third Party,0.2561672213768721,7.0,1462.0,Petrol,0.1808108436013733,70000.0,103.0,Third Owner,1.3553447922231374,21
Manual,0.1306344835831814,Sedan,0.5776796017468651,Vento Petrol Comfortline,3.35243980157973,Volkswagen,1.491104562694788,15.04,2012.0,Pune,1.0951613137788256,Third Party,0.2561672213768721,5.0,1598.0,Petrol,0.1808108436013733,68000.0,103.6,Second Owner,0.6196441032904012,22
Manual,0.1306344835831814,Sedan,0.5776796017468651,Verna 1.6 SX VTVT,2.550807455346564,Hyundai,0.6762035848164187,17.01,2011.0,Kolkata,1.1705962136349577,Third Party,0.2561672213768721,5.0,1591.0,Petrol,0.1808108436013733,50000.0,121.3,Second Owner,0.6196441032904012,23
Manual,0.1306344835831814,SUV,0.6002632621852876,Nexon KRAZ Diesel,3.929561056299393,Tata,1.2324145684656973,21.5,2019.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,1497.0,Diesel,0.5145358569867878,90000.0,108.5,First Owner,0.1513159043723507,24
Manual,0.1306344835831814,Hatchback,0.3631383338656007,Grand i10 Nios Sportz,2.768863215945781,Hyundai,0.6762035848164187,20.7,2019.0,Lucknow,1.4981337597786497,Third Party,0.2561672213768721,5.0,1197.0,Petrol,0.1808108436013733,22179.0,81.8,First Owner,0.1513159043723507,25
Manual,0.1306344835831814,Sedan,0.5776796017468651,Vento 1.6 Highline BSIV,3.6534697972437113,Volkswagen,1.491104562694788,16.09,2013.0,Mumbai,0.9237651759315242,Comprehensive,0.4469137531446819,5.0,1598.0,Petrol,0.1808108436013733,59841.0,103.2,Second Owner,0.6196441032904012,26
Manual,0.1306344835831814,SUV,0.6002632621852876,Harrier XZ BSIV,3.22750106497143,Tata,1.2324145684656973,17.0,2019.0,Ahmedabad,1.1106443702845317,Third Party,0.2561672213768721,5.0,1956.0,Diesel,0.5145358569867878,51000.0,138.1,First Owner,0.1513159043723507,27
Automatic,0.5851602224980227,Sedan,0.5776796017468651,,3.929561056299393,Mercedes,3.929561056299393,12.6,2020.0,Kolkata,1.1705962136349577,Third Party,0.2561672213768721,5.0,1950.0,Diesel,0.5145358569867878,30000.0,194.0,First Owner,0.1513159043723507,28
Manual,0.1306344835831814,Hatchback,0.3631383338656007,Santro Xing GLS,2.6392293581291013,Hyundai,0.6762035848164187,17.92,2010.0,Gurgaon,1.2221060330847242,Comprehensive,0.4469137531446819,5.0,1086.0,Petrol,0.1808108436013733,84338.0,62.1,Second Owner,0.6196441032904012,29
Automatic,0.5851602224980227,SUV,0.6002632621852876,ZS EV Exclusive,3.0514098059157493,MG,1.948747464018601,22.41,2020.0,Delhi,0.768863215945781,Comprehensive,0.4469137531446819,5.0,0.0,Electric,2.4584931940276564,50000.0,140.8,First Owner,0.1513159043723507,30
Manual,0.1306344835831814,Sedan,0.5776796017468651,Swift Dzire ZXI BSVI,3.431621047627355,Maruti,0.5428800869444625,21.1,2012.0,Mumbai,0.9237651759315242,Third Party,0.2561672213768721,5.0,1197.0,Petrol,0.1808108436013733,80000.0,88.5,First Owner,0.1513159043723507,31
Manual,0.1306344835831814,Hatchback,0.3631383338656007,EON Sportz,3.176348542524049,Hyundai,0.6762035848164187,18.9,2016.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,814.0,Petrol,0.1808108436013733,48144.0,55.2,First Owner,0.1513159043723507,32
