full_name,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,resale_price_Lakh
2275.0,2019.0,1199.0,3.0,1.0,30910.0,1.0,4.0,83.8,5.0,23.84,3.0,12.0,5.66
2500.0,2018.0,1199.0,4.0,1.0,48089.0,4.0,4.0,88.7,5.0,17.5,7.0,8.0,6.64
582.0,2015.0,1497.0,3.0,1.0,51000.0,3.0,4.0,117.3,5.0,17.4,8.0,11.0,5.65
1524.0,2021.0,1956.0,3.0,0.0,30000.0,1.0,1.0,167.6,7.0,14.08,7.0,11.0,23.0
322.0,2019.0,1197.0,4.0,0.0,61113.0,1.0,4.0,83.1,5.0,21.4,3.0,9.0,6.87
50.0,2021.0,2993.0,3.0,0.0,31738.0,1.0,1.0,261.4,4.0,17.66,8.0,12.0,115.0
2373.0,2021.0,1197.0,3.0,1.0,30000.0,3.0,4.0,81.8,5.0,17.52,7.0,5.0,7.85
2359.0,2015.0,1598.0,3.0,1.0,80000.0,4.0,4.0,103.5,5.0,16.09,8.0,2.0,5.95
34.0,2018.0,1995.0,3.0,0.0,36000.0,1.0,1.0,187.7,5.0,22.48,8.0,5.0,38.75
1374.0,2021.0,999.0,3.0,0.0,14608.0,1.0,4.0,98.6,5.0,18.24,7.0,2.0,9.6
1338.0,2019.0,999.0,0.0,1.0,25000.0,1.0,4.0,67.0,5.0,21.74,3.0,5.0,3.49
1331.0,2018.0,999.0,3.0,1.0,30000.0,3.0,4.0,67.0,5.0,23.01,3.0,9.0,3.1
1541.0,2019.0,1497.0,4.0,0.0,46034.0,1.0,1.0,108.5,5.0,21.5,7.0,7.0,10.22
2165.0,2013.0,1197.0,3.0,1.0,50824.0,1.0,4.0,88.5,5.0,22.38,3.0,7.0,4.55
590.0,2017.0,1497.0,4.0,0.0,120848.0,1.0,4.0,117.6,5.0,18.0,8.0,2.0,7.18
2121.0,2015.0,1197.0,3.0,1.0,36888.0,3.0,4.0,88.5,5.0,22.41,8.0,5.0,3.78
337.0,2018.0,1248.0,0.0,1.0,83083.0,1.0,1.0,74.0,5.0,27.39,3.0,8.0,6.75
2231.0,2018.0,2498.0,3.0,1.0,59889.0,1.0,1.0,105.0,6.0,16.55,7.0,2.0,9.85
1008.0,2018.0,1194.0,4.0,1.0,45600.0,1.0,4.0,94.6,5.0,19.0,3.0,7.0,5.5
2694.0,2019.0,2179.0,3.0,0.0,80000.0,1.0,1.0,152.8,7.0,15.1,7.0,7.0,15.0
2862.0,2017.0,1197.0,0.0,1.0,26997.0,1.0,4.0,81.8,5.0,18.6,3.0,7.0,6.68
1125.0,2022.0,1451.0,3.0,0.0,10000.0,3.0,4.0,141.0,5.0,0.0,7.0,5.0,21.0
2824.0,2011.0,1197.0,3.0,1.0,63386.0,1.0,4.0,78.9,5.0,20.36,3.0,12.0,2.46
940.0,2017.0,1999.0,0.0,0.0,56000.0,1.0,1.0,177.0,5.0,16.38,7.0,2.0,43.0
1290.0,2017.0,1199.0,0.0,0.0,47000.0,1.0,4.0,88.7,5.0,18.2,3.0,2.0,7.75
812.0,2017.0,1498.0,0.0,1.0,70681.0,1.0,1.0,98.5,5.0,22.77,7.0,2.0,7.33
2466.0,2020.0,1591.0,3.0,1.0,30000.0,1.0,4.0,121.3,5.0,17.0,8.0,6.0,8.5
695.0,2019.0,1582.0,0.0,0.0,56000.0,1.0,1.0,126.2,5.0,17.6,7.0,2.0,15.75
893.0,2022.0,1462.0,3.0,1.0,30000.0,1.0,0.0,91.1,7.0,0.0,4.0,5.0,11.5
1309.0,2018.0,1198.0,3.0,1.0,60000.0,3.0,4.0,82.0,6.0,18.15,3.0,5.0,3.95
2923.0,2019.0,1197.0,3.0,0.0,23717.0,3.0,4.0,81.8,5.0,17.4,3.0,3.0,7.34
2877.0,2019.0,1197.0,4.0,1.0,28438.0,3.0,4.0,81.8,5.0,18.6,3.0,7.0,7.59
909.0,2018.0,1462.0,0.0,1.0,68796.0,1.0,4.0,103.0,7.0,19.34,4.0,2.0,9.0
325.0,2017.0,1197.0,0.0,1.0,40356.0,1.0,4.0,83.1,5.0,21.4,3.0,2.0,7.12
708.0,2021.0,1493.0,0.0,1.0,19000.0,1.0,1.0,113.9,5.0,0.0,7.0,9.0,10.49
